16 148
Abassa,available,74,none
Andaba,available,5,none
Aventurado,available,3,none
Belleza,available,4,none
Bequermo,available,5,none
Exuma,available,4,QAR is deployed. There is 1 ship remaining.
Jovencito,available,5,none
Juntos,available,5,none
Ladrones,available,9,QAR is deployed. There is 1 ship remaining.
Levanta,available,4,none
Marineros,available,4,QAR is deployed. There is 1 ship remaining.
Nocivo,available,4,none
Poderoso,available,5,QAR is deployed. There is 1 ship remaining.
Sabada,available,5,none
Temprano,available,7,QAR is deployed. There is 1 ship remaining.
Valor,available,5,QAR is deployed. There is 1 ship remaining.
